"Model","AIC","BIC","AIC_Rank","BIC_Rank"
"Nested (All)",-43.2513652483592,-41.3341932595134,1.5,1.5
"Nested (No Outliers)",-43.2513652483592,-41.3341932595134,1.5,1.5
"Study-Level (All)",-1.38502364215169,-5.38502364215169,3.5,3.5
"Study-Level (No Outliers)",-1.38502364215169,-5.38502364215169,3.5,3.5
